gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ANGPTL6	280.05588453881126	-2.8996391071564216	0.18661350254789988	8.31082857670571e-56	1.2541372755391983e-53
ANKFN1	74.3871949932684	6.673779122034707	0.7426823456469221	2.8970429699812634e-22	4.650801833426092e-21
ANKRD33	18.913636680385434	3.949398193888543	0.5637730438068674	7.03047254901151e-14	4.976202765178391e-13
ANKRD55	37.38851208915196	-2.1584561998085485	0.23642359031148988	3.980740955900111e-21	5.771615422839646e-20
ANKRD65	318.7819266090492	2.3966251372922116	0.28017840976558356	5.642647397404931e-19	6.689959639047719e-18
ANKRD7	2.2736211000634534	2.4005972724278255	0.5842150883743857	1.115342047636027e-6	3.3678080750053426e-6
ANKS1B	61.79675833117907	2.6127288845226517	0.31014107267690316	1.5281374121728727e-18	1.7312466069559698e-17
ANLN	473.59111761513145	3.5771327814509823	0.20511294797806182	2.3264354527587514e-69	7.077992249256182e-67
ANO2	49.77748494615895	3.019161992103929	0.30651877222952356	2.9491584772194363e-24	5.546358559899325e-23
AP1M2	795.3927115545589	3.015345171255527	0.39809637769573064	1.4455316809196514e-15	1.2260370547296486e-14
APELA	2.130988540555205	2.287891163597941	0.8323125179081181	1.179885607854751e-4	2.7284764277263904e-4
APLN	356.13511502014217	3.8820815029884552	0.22097738189121607	2.10944083910833e-70	6.74413263527126e-68
APLP1	152.48739071553672	2.6030484638736713	0.31193811165490126	3.0128741104629695e-18	3.331292165630891e-17
APOF	5602.338080203307	-2.7601470776707906	0.2829448245241474	7.247515411609133e-24	1.320868436803701e-22
AQP10	20.022761868872177	3.6891196887539985	0.5429992893945786	3.720259886402203e-13	2.4511094040239175e-12
AQP8	165.555447843865	3.991535271313725	0.3950610681209474	1.9165314090239945e-25	4.0168368853799565e-24
AQPEP	7.772564648120259	2.2174658786316286	0.3547415121645759	1.874347785160962e-11	1.0212542539425543e-10
ARHGAP11A	337.9116528760869	2.5226393852232976	0.1689992009292415	9.79330045407866e-52	1.2652810031868887e-49
ARHGAP11B	75.40291369911911	2.0677153399282155	0.17582701635185524	4.1734919963221754e-33	1.7019584454296018e-31
ARHGAP40	12.37337718690103	2.1069740473833747	0.5146026573600396	1.3022439867901897e-6	3.892287802697409e-6
ARHGEF39	212.36401100077043	2.9184450000533677	0.15487020207313668	1.4430230574374333e-80	9.721337118729395e-78
ARID3A	776.042100462307	2.4787401868886016	0.2464989445412902	3.9491518019185076e-25	8.018606075305578e-24
ASB15	3.2206373846369396	2.406919354120083	0.5046371918848742	6.17791607883818e-8	2.1917252397051832e-7
ASB16	38.574048706275846	2.0839767360106873	0.17903713443261565	1.692245893407896e-32	6.650173809865238e-31
ASF1B	384.8581234470535	2.9506536534376946	0.18946747862281196	4.899280196005412e-56	7.57501002764345e-54
ASIC1	131.7346215330274	3.279562314839002	0.29639910571760525	8.977177837150644e-30	2.8412165359424934e-28
ASPHD1	279.08276155389655	2.5822609166185853	0.3355042932661073	5.875515174129758e-16	5.176545666959814e-15
ASPM	816.13690135898	3.7120491895323746	0.194081643907966	8.449236240772128e-83	7.721503863142023e-80
ATP13A4	12.12235516279544	-2.2135336948857787	0.3176938578075078	1.5978054634064457e-13	1.0975748163232259e-12
ATP4A	4.105590970582164	2.1138607851223052	0.6332566223924304	2.130582317414833e-5	5.45677858158805e-5
ATP6V0D2	38.53524864951486	2.4322234587083846	0.33489588302608914	1.6922230021366394e-14	1.2757954632015759e-13
AURKA	791.591547015564	2.684250128856745	0.1599460131391493	1.3832655284760775e-64	3.0697103133699115e-62
AURKB	352.4560756360037	3.548188645237726	0.20768361662520768	1.0915648098114447e-66	3.1197253041626185e-64
AVPR1A	1609.958435832935	-2.3553163480995103	0.3705985180768215	9.068937649406548e-12	5.123311496877978e-11
B3GALT1	14.76863052235991	3.4134220588794806	0.5149957139346496	1.2592957323516637e-12	7.831881107599548e-12
B4GALNT1	329.41337675628125	4.170154188014266	0.28068017477869306	2.0190294347872396e-51	2.5560370623081677e-49
B4GALNT2	161.77970143336537	6.930097386592683	0.6132962878097675	2.042651121452156e-32	7.960852914039673e-31
B4GALNT4	110.68680460369968	3.189533172061846	0.44306859750077027	2.4159176271237057e-14	1.7934456592063935e-13
BAIAP2L2	551.257535329721	2.929931918967675	0.25689159668013806	1.683646451133304e-31	6.10742750148606e-30
BANF2	10.496668743271726	4.842373572966823	0.48970129257391937	3.2392471497903888e-25	6.648739824428304e-24
BCAN	130.9162245549792	4.465054917686922	0.30603173939496797	5.893351045070133e-50	6.737350349282299e-48
BCAS1	132.57937263482336	2.308418737911205	0.33213725550090684	1.7127802390971665e-13	1.1697383653182422e-12
BCO2	562.3904614831737	-3.028825837559619	0.26904598013638364	9.381763600216776e-31	3.2001484048985356e-29
BDKRB1	26.378422838283342	2.28416948654081	0.27157214279547615	2.0880085751920314e-18	2.3402320709356678e-17
BEST4	17.829027431440036	2.223045663314007	0.2548311736088511	1.464778491806869e-19	1.833451671596083e-18
BEX2	321.09304883662185	2.4547918702872344	0.3605882981118243	4.2672796044929706e-13	2.795890766917364e-12
