UMAP_1	UMAP_2	Highlight	cell_id
5.964448442	-5.357569161	none	cell168
10.66849326	-6.785777989	none	cell169
5.447368612	-6.877575341	none	cell170
5.572165956	-6.19153637	none	cell171
8.962197294	-7.400557461	none	cell172
5.599423875	-7.454665127	none	cell173
3.673646917	-7.359284821	none	cell174
6.07975625	-7.842467251	none	cell175
6.747960081	-5.617669049	none	cell176
-6.235477934	0.615198848	Epithelials	cell177
3.799253454	-6.96160883	none	cell178
4.698064794	-7.020052853	none	cell179
7.459512224	-7.809631291	none	cell180
11.00475596	-7.218268815	none	cell181
8.046642294	-7.887707177	none	cell182
4.8544526	-7.640448514	none	cell183
5.618388166	-6.814918938	none	cell184
3.846101274	-7.361876431	none	cell185
-5.976645956	0.248707292	Epithelials	cell186
4.495187273	-7.282876435	none	cell187
6.519531717	-9.305834237	none	cell188
5.202588072	-7.159815732	none	cell189
10.36563682	-6.400754872	none	cell190
4.008429041	-8.510923806	none	cell191
6.991817941	-7.589254323	none	cell192
4.704481115	-8.956963006	none	cell193
4.767946233	-8.776927414	none	cell194
4.699748029	-7.022707406	none	cell195
3.704837789	-6.671379033	none	cell196
4.877696027	-6.741797391	none	cell197
9.398289671	-7.512406292	none	cell198
3.772118082	-6.997947636	none	cell199
4.315060606	-7.74915165	none	cell200
-6.145833979	0.393399653	Epithelials	cell201
3.666277876	-7.202678624	none	cell202
7.92123126	-7.993157807	none	cell203
5.629832735	-7.593988839	none	cell204
5.639363756	-6.913063946	none	cell205
10.26602458	-6.569377366	none	cell206
5.137491216	-7.293756428	none	cell207
4.531956663	-8.399208489	none	cell208
11.22530936	-6.232459488	none	cell209
-6.167593489	0.452172753	Epithelials	cell210
11.15425109	-6.454057637	none	cell211
9.418095579	-7.497476998	none	cell212
5.827926149	-7.840391579	none	cell213
6.028783312	-8.494653168	none	cell214
3.549034824	-7.39816803	none	cell215
3.815221777	-7.221992436	none	cell216
6.956496229	-7.330708447	none	cell217
4.647057523	-9.222093049	none	cell218
10.47359847	-6.709064904	none	cell219
4.286700239	-7.383954945	none	cell220
5.455925455	-7.892120781	none	cell221
11.5315113	-6.725745621	none	cell222
4.104603281	-6.957920018	none	cell223
4.013520708	-7.415722313	none	cell224
4.163981905	-6.937642518	none	cell225
4.314723005	-7.659329835	none	cell226
3.667290678	-7.105419102	none	cell227
5.444284429	-9.291132393	none	cell228
-5.811148177	0.185227183	Epithelials	cell229
3.713196745	-7.084843102	none	cell230
5.112163057	-10.59117645	none	cell231
-5.72559453	-0.859494331	Epithelials	cell232
9.706454267	-6.528765622	none	cell233
6.391756048	-6.236541691	none	cell234
7.888448705	-8.045302334	none	cell235
6.01134633	-8.36556572	none	cell236
10.55752753	-6.561902943	none	cell237
4.984154215	-10.02604527	none	cell238
8.937409391	-6.636587563	none	cell239
3.937801351	-7.077592793	none	cell240
6.538651457	-7.489040318	none	cell241
3.10260724	-7.260902825	none	cell242
6.129898061	-8.184337082	none	cell243
10.46771716	-6.382283154	none	cell244
4.496797552	-6.95362896	none	cell245
4.6090207	-8.067776146	none	cell246
3.963568201	-7.615378323	none	cell247
5.082145681	-6.882587376	none	cell248
4.150549879	-7.029348794	none	cell249
5.172183981	-7.09992117	none	cell250
6.918679704	-5.607396069	none	cell251
5.455971708	-7.296754304	none	cell252
4.328229417	-8.698568764	none	cell253
5.217810621	-9.352198067	none	cell254
4.173571577	-7.031050625	none	cell255
