gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ADM2	39479.98353555705	2.215211524044639	0.11885422337057659	1.6989979597283326e-78	8.833614968034521e-77
ADRA1A	91238.92957857547	-2.406598238012791	0.1619314818720214	5.1557955089711696e-51	1.066365954719839e-49
ADRA2B	25312.218742630805	-2.0333085395550827	0.1052517262314317	4.0783309670725043e-84	2.5282290734063478e-82
ADRA2C	14100.983623088376	2.1222166317942293	0.184541481024746	1.318745446048905e-31	1.2131060330246043e-30
AFAP1-AS1	16250.587101321269	3.340360050237139	0.18375240712118956	7.584106739697616e-76	3.580237836428383e-74
AFF2	2458.126156886309	2.124182536013704	0.27837357515404687	1.8826250936889136e-15	7.59546490954592e-15
AFP	807902.4027974583	5.21660114224531	0.3302474629711859	1.6091022364294138e-57	4.23186386538808e-56
AGBL4	2585.933028119088	-2.5373530719679125	0.23896488196737473	1.6691579589329425e-27	1.2750355227935629e-26
AGR2	33542.387286975485	3.7880214636577936	0.4952503173916396	1.5163099532447195e-16	6.523457406094776e-16
AGTR2	49.97731901121976	5.018769748044716	0.9911011147874456	5.397289751374031e-9	1.455945525878721e-8
AIM1L	14982.87531594715	2.30987004530993	0.14541795277640746	8.05440126816248e-58	2.140725142710087e-56
AKR1B10	2127091.776111711	4.205119104548952	0.20752707936977532	2.2740295006644667e-93	1.8524720462994114e-91
AKR1B15	25484.317922002334	4.204910110094432	0.3042462706140509	1.5804975719067477e-45	2.6515931382955954e-44
ALDH3A1	172294.0042803207	5.566814903686344	0.2922843259831747	4.819887160034383e-82	2.8471401509470117e-80
ALDH3B2	140.398804429209	3.35371769351799	0.9674103106194006	4.985414651598163e-6	1.0750753212281398e-5
ALG1L	15720.407615011403	3.288749378471785	0.13292441380191716	4.1936542358554084e-137	9.656102840007887e-135
ALPI	373.163702161256	2.637265668119723	0.5077826095564385	7.4451921718725065e-9	1.991002149304374e-8
ALPPL2	44.03724218184584	28.32851654794754	0.998652062702097	2.124935745283342e-177	1.1987293773079651e-174
ALX1	564.839241608049	7.9006392841153685	1.0173925998706186	7.945418900277518e-17	3.481327718150722e-16
AMBN	114.97642681836552	3.27895811479128	0.757114544548816	1.8858871606551654e-7	4.569423792567788e-7
AMHR2	2052.1002963970896	-3.1270334410799263	0.2700190418668218	8.98961039886822e-33	8.706032560105638e-32
AMPD1	3312.671781728709	-2.042548873556567	0.27908814665187476	1.9038765591510132e-14	7.259373869084591e-14
AMTN	45.51625667078759	27.937764069005105	1.3856704064544032	8.831518439877579e-91	6.709872511644362e-89
